nctid	criterion	cluster
NCT00003199	ANC \> 1,000 cells/mm\^3 and platelets \> 30,000/cells/mm\^3 (transfusion independent) for at least 5 days before starting therapy	15
NCT00003199	Total bilirubin =\< 2.5 x upper limit of normal	23
NCT00003199	SGOT =\< 2.5 x upper limit of normal	23
NCT00003199	Creatinine =\< 2.0 mg/dl	8
NCT00003895	Patients must have histologically confirmed primary melanoma of Breslow thickness 1.0-4.0 mm; patients who have had only their initial biopsy are preferred; however, those who have already undergone a wide local excision are also eligible; patients may be enrolled up to three months after their wide local excision	3
NCT00003895	Patients whose melanoma is \> 4.0 mm thick who have positive or negative regional lymph nodes are also eligible	3
NCT00003895	After accrual to the original 26 patient goal, all patients must be enrolled prior to sentinel lymph node dissection; patients with previous lymph node dissection will not be eligible	3
NCT00003895	Patients must be HLA typed and be shown to be HLA-A2.1+ by either serologic techniques, flow cytometry, or molecular techniques	3
NCT00003895	Patients must be ambulatory with good performance status (Karnofsky performance status \[PS\] 80-100)	6
NCT00003895	White blood cell (WBC) \>= 3500/mm\^3	19
NCT00003895	Platelets (Plt) \>= 100,000/mm\^3	15
NCT00003895	Hemoglobin \>= 9 gm/100 ml	15
NCT00003895	Serum creatinine =\< 2 mg/dl	8
NCT00003895	Total bilirubin =\< 2.0 mg/dl	12
NCT00003895	Patients must have recovered from any effects of major surgery and be free of significant systemic infection	3
NCT00003895	Patients must be negative for human immunodeficiency virus (HIV) antibody by enzyme-linked immunosorbent assay (ELISA) (or negative by Western blot if ELISA is positive) if they are considered to be at high risk; others do not require serologic testing if there are no symptoms or risk factors for HIV disease	15
NCT00003895	Women of childbearing potential must have a negative pregnancy test and should avoid becoming pregnant while on treatment	7
NCT00003895	Patients must give written informed consent prior to initiation of therapy; patients with a history of major psychiatric illness must be judged able to fully understand the investigational nature of the study and the risks associated with the therapy	22
NCT00004067	The patient must have a life expectancy of at least 10 years, excluding her diagnosis of breast cancer. (Comorbid conditions should be taken into consideration, but not the diagnosis of breast cancer.)	4
NCT00004067	The interval between the last surgery for breast cancer treatment (lumpectomy, mastectomy, axillary dissection, or re-excision of lumpectomy margins) and randomization must be less than or equal to 84 days.	4
NCT00004067	All of the following staging criteria must be met:	15
NCT00004067	Primary tumor must be T1-3 by clinical and pathologic evaluation.	15
NCT00004067	Ipsilateral nodes must be cN0-1 by clinical evaluation.	15
NCT00004067	Ipsilateral nodes must be pN1, pN2a, or pN3a by pathologic evaluation.	15
NCT00004067	M0	15
NCT00004067	Patients must have undergone either a total mastectomy and an axillary dissection or a lumpectomy and an axillary dissection. Sentinel node biopsy is permitted, but must be followed by an axillary dissection.	15
NCT00004067	The tumor must be invasive adenocarcinoma on histologic examination.	15
NCT00004067	The tumor must be determined to be HER2-positive prior to randomization. Assays performed using fluorescent in situ hybridization (FISH) require gene amplification to be eligible. Assays using immunohistochemistry (IHC) must be performed at an NSABP-approved reference laboratory and require a strongly positive staining score.	0
NCT00004067	"Patients must have an analysis of both estrogen and progesterone receptors performed on the primary tumor prior to randomization. ""Marginal,"" ""borderline,"" etc., results (i.e., those not definitely negative) will also be considered positive regardless of the methodology used."	0
NCT00004067	At the time of randomization, the patient must have had the following: history and physical exam, EKG, and PA and lateral chest x-ray within the past 3 months; and a bilateral mammogram (or unilateral if patient has had a mastectomy) and a pelvic exam (for women who have a uterus and who will be taking tamoxifen) within the past year.	15
NCT00004067	Within 3 months prior to entry, the patient must have a baseline left ventricular ejection fraction (LVEF) measured by MUGA scan equal to or greater than the lower limit of normal for the radiology facility. (If LVEF is \> 75%, the investigator should consider having the LVEF determination reviewed prior to randomization. Following randomization, the LVEF determination may be reviewed up until the time of the post-AC MUGA. Please note that if a more accurate value is obtained from the review of the baseline MUGA, the corrected value must be submitted to the NSABP Biostatistical Center before the post-AC MUGA is performed.)	15
NCT00004067	At the time of randomization:	15
NCT00004067	The postoperative absolute neutrophil count (ANC) must be ≥ 1500/mm3 (or \<1500/mm3 if, in the opinion of the investigator, this represents an ethnic or racial variation of normal).	15
NCT00004067	Postoperative platelet count must be ≥ 100,000/mm3. Significant underlying hematologic disorders must be excluded when the platelet count is above the upper limit of normal for the lab.	15
NCT00004067	There must be postoperative evidence of adequate hepatic function, i.e., total bilirubin must be ≤ ULN for the lab unless the patient has a chronic grade 1 bilirubin elevation (\>ULN to ≤1.5 x ULN) due to Gilbert's disease or similar syndrome; and alkaline phosphatase must be \<2.5 times the ULN for the lab; and the serum glutamic-oxaloacetic transaminase (SGOT \[AST\]) must be \<1.5 times the ULN for the lab.	12
NCT00004067	There must be postoperative evidence of adequate renal function (serum creatinine within or less than the institution's normal range).	8
NCT00004067	Patients must have no clinical or radiologic evidence of metastatic disease. Suspicious findings must be confirmed as benign by radiologic evaluation or biopsy. A patient with skeletal pain is eligible for inclusion in the study if bone scan and/or roentgenological examination fails to disclose metastatic disease.	25
NCT00004067	Patients with a history of non-breast malignancies are eligible if they have been disease-free for 5 or more years prior to randomization and are deemed by their physician to be at low risk for recurrence. Patients with the following cancers are eligible if diagnosed and treated within the past 5 years: carcinoma in situ of the cervix, melanoma in situ, and basal cell and squamous cell carcinoma of the skin.	3
NCT00004067	Prior to randomization, the investigator must designate whether the patients who had a lumpectomy will receive local or locoregional radiation therapy. For patients who had a mastectomy, the investigator must designate whether or not the patient will receive radiation therapy. (Pre-randomization discussion and/or consultation with a radiation oncologist is encouraged.) Note: Irradiation of any internal mammary nodes is prohibited in this trial.	14
NCT00004067	Special conditions for eligibility of lumpectomy patients: irradiation and surgery	3
NCT00004067	Patients treated by lumpectomy and axillary node dissection to be followed by breast radiation therapy must meet all the eligibility criteria in addition to the following: Generally, lumpectomy should be reserved for tumors \<5 cm. However, at the investigator's discretion, patients treated with lumpectomy for tumors ≥ 5 cm are eligible. The margins of the resected specimen must be histologically free of invasive tumor and DCIS as determined by the local pathologist. In patients in whom pathologic examination demonstrates tumor present at the line of resection, additional operative procedures may be performed to obtain clear margins. This is permissible even if axillary dissection has been performed. Patients in whom tumor is still present at the resected margin after re-excision(s) must undergo total mastectomy to be eligible. Whole breast irradiation is required. Irradiation of regional lymph nodes is optional, but partial breast irradiation and irradiation of any internal mammary nodes are prohibited in this trial. Intent to irradiate the axilla or other regional node groups must be declared by the investigator prior to randomization for stratification purposes.	3
NCT00004067	Special conditions for eligibility of mastectomy patients: irradiation. The decision to use locoregional irradiation in patients who have undergone total mastectomy and axillary node dissection must be declared by the investigator prior to randomization for stratification purposes. Failure to adhere to the radiation therapy plan will be a protocol violation. Exclusion criteria	3
NCT00004067	Bilateral malignancy or a mass or mammographic abnormality in the opposite breast suspicious for malignancy unless there is biopsy proof that the mass is not malignant.	15
NCT00004067	Primary tumor staged as T4 for any reason.	15
NCT00004067	Nodes staged as clinical N2 or N3 for any reason and nodes staged as pathologic pN2b, pN3b, or pN3c.	15
NCT00004067	Prior history of breast cancer, including DCIS (patients with a history of lobular carcinoma in situ \[LCIS\] are eligible).	4
NCT00004067	Treatment including radiation therapy, chemotherapy, biotherapy, and/or hormonal therapy administered for the currently diagnosed breast cancer prior to randomization. The only exception is hormonal therapy, which may have been given for up to a total of 28 days anytime after diagnosis and before randomization. In such a case, hormonal therapy must stop at or before randomization and be re-started if indicated following chemotherapy.	14
NCT00004067	Prior anthracycline or taxane therapy for any malignancy.	14
NCT00004067	Any sex hormonal therapy, e.g., birth control pills, ovarian hormonal replacement therapy, etc. (These patients are eligible only if this therapy is discontinued prior to randomization.)	14
NCT00004067	Therapy with any hormonal agents such as raloxifene (Evista®), tamoxifen, or other selective estrogen receptor modulators (SERMs), either for osteoporosis or prevention. (Patients are eligible only if these medications are discontinued prior to randomization. These medications are not permitted while on the study except for the use of tamoxifen as described in the protocol)	14
NCT00004067	Nonmalignant systemic disease (cardiovascular, renal, hepatic, etc.) that would preclude a patient from being subjected to any of the treatment options or would prevent prolonged follow-up.	15
NCT00004067	Cardiac disease that would preclude the use of Adriamycin, Taxol or Herceptin. This includes:	15
NCT00004067	Active cardiac disease:	15
NCT00004067	angina pectoris that requires the use of antianginal medication;	15
NCT00004067	cardiac arrhythmia requiring medication;	15
NCT00004067	severe conduction abnormality;	15
NCT00004067	clinically significant valvular disease;	15
NCT00004067	cardiomegaly on chest x-ray;	15
NCT00004067	ventricular hypertrophy on EKG; or	15
NCT00004067	patients with poorly controlled hypertension, i.e., diastolic greater than 100 mm/Hg. (Patients with hypertension who are well controlled on medication are eligible for entry.)	3
NCT00004067	History of cardiac disease:	15
NCT00004067	myocardial infarction documented as a clinical diagnosis or by EKG or any other tests;	15
NCT00004067	documented congestive heart failure; or	15
NCT00004067	documented cardiomyopathy.	15
NCT00004067	Psychiatric or addictive disorders that would preclude obtaining informed consent.	22
NCT00004067	Pregnancy or lactation at the time of proposed randomization. This protocol excludes pregnant or lactating women based on the fetal toxicity of both tamoxifen and Taxol which are listed as Pregnancy Category D agents. Pregnant women who received tamoxifen have experienced fetal deaths, birth defects, spontaneous abortions, and vaginal bleeding. Women of reproductive potential must agree to use an effective barrier method of contraception. Hormonal birth control methods are not permitted.	16
NCT00004067	Sensory/motor neuropathy ≥ grade 2, as defined by the NCI's Common Toxicity Criteria version 2.0.	15
NCT00004067	Contraindications to corticosteroid use which, in the opinion of the investigator, would preclude participation in this study.	15
NCT00004067	Concurrent treatment with other investigational agents.	15
NCT00004067	Sensitivity to benzyl alcohol.	15
NCT00004067	Special conditions for ineligibility of lumpectomy patients: irradiation and surgery. For patients treated by lumpectomy with axillary dissection, breast irradiation is required. Please see guidelines for radiation therapy in Appendix A. In addition, the following patients will also be ineligible:	3
NCT00004067	Patients with diffuse tumors (as demonstrated on mammography) that would not be considered surgically amenable to lumpectomy.	3
NCT00004067	Patients treated with lumpectomy in whom there is another clinically dominant mass or mammographically suspicious abnormality within the ipsilateral breast remnant. Such a mass must be biopsied and demonstrated to be histologically benign prior to randomization or, if malignant, must be surgically removed with clear margins.	3
NCT00004067	Patients in whom the margins of the resected specimen are involved with invasive tumor or ductal carcinoma in situ (DCIS). Additional surgical resections to obtain free margins are allowed. Patients in whom tumor is still present after the additional resection(s) must undergo mastectomy to be eligible.	3
NCT00004074	Patients must have a histologically proven Her2 overexpressing malignancy as determined by any standardized assay currently in clinical use	3
NCT00004074	Patients must have measurable or evaluable disease	10
NCT00004074	The patient must have failed standard curative and/or palliative therapies for their disease	15
NCT00004074	Life expectancy of at least 6 months	2
NCT00004074	No concurrent malignancy other than non-melanoma skin carcinoma	15
NCT00004074	Adequate hematopoietic, cardiac, renal, and hepatic function	15
NCT00004074	Calculated creatinine clearance will be used to assess renal function	8
NCT00004074	Karnofsky Performance Status index \>= 70%	15
NCT00004074	Women of childbearing potential and men must agree to use adequate contraception (hormonal or barrier method of birth control) prior to study entry and for the duration of study participation; a woman of childbearing potential is defined as a female who is biologically capable of becoming pregnant	27
NCT00004074	Normal cardiac ejection fraction by echocardiogram or MUGA (i.e., greater than OSU lower limit of normal)	15
NCT00004074	Written signed informed consent; the patient must be aware that his/her disease is neoplastic in nature and willingly consent after being informed of the procedure to be followed, the experimental nature of the therapy, alternatives, potential benefits, side-effects, risks, and discomforts	22
NCT00005617	Adults over the age of 18 with malignant melanoma.	28
NCT00005617	HLA-A2.1 positive and express MART-1, as assessed by either RT-PCR or by immunohistochemistry	15
NCT00005617	Tumor stages T3N0M0 or greater are eligible for this trial according to the following:	15
NCT00005617	I (\<.75 to 1.5 mm or Clark level III-T1-2N0M0-)-not eligible	15
NCT00005617	II (1.5 to 4 mm or level IV-T3N0M0-)-eligible	15
NCT00005617	III (limited nodal metastasis involving one regional lymph node basin, or fewer than 5 in-transit metastasis -TxN1M0-)-eligible	15
NCT00005617	IV (advanced regional metastasis -TxN2M0- or any distant metastasis -TxNxM1-)-eligible	15
NCT00005617	Relapsed melanoma-eligible	15
NCT00005617	Patients previously treated with any form of therapy for either metastatic, relapsed or primary melanoma are eligible for this trial, provided that previous treatment was completed \>30 days prior to enrollment	14
NCT00005617	Both male and females may be enrolled. Premenopausal females must have a negative pregnancy test prior to treatment	7
NCT00005617	Karnofsky Performance Status greater than or equal to 70 percent	15
NCT00005617	No previous evidence of class 3 or greater New York Heart Association cardiac insufficiency or coronary artery disease	15
NCT00005617	No previous evidence of opportunistic infection	15
NCT00005617	A minimum of 30 days must have elapsed since the completion of prior chemotherapy, immunotherapy or radiation therapy	14
NCT00005617	Adequate baseline hematological function as assessed by the following laboratory values within 30 days prior to study entry (day -30 to 0):	14
NCT00005617	Hemoglobin \>9.0 g/dl	15
NCT00005617	Platelets \> 100000/mm3	15
NCT00005617	WBC \> 3000/mm3	15
NCT00005617	Absolute Neutrophil Count \> 1000/mm3	15
NCT00005617	Positive skin test to common antigens (tetanus and candida)	15
NCT00005617	Ability to give informed consent	22
NCT00005764	Patients may be eligible for this study if they:	3
NCT00005764	Are HIV-positive.	15
NCT00005764	Are at least 18 years old.	9
NCT00005764	Agree not to have intercourse 2 weeks before, during, and 2 weeks after study or agree to use effective methods of birth control.	16
NCT00005764	Have had HIV-1 RNA levels less than 400 copies/ml on the 2 most recent measurements.	15
NCT00005764	Have at least 1 of the following situations:	15
NCT00005764	(a) at least 1 of the following: (1) decrease in facial fat, (2) decrease in fat in lower limbs, or (3) decrease in fat in buttocks area; or	15
NCT00005764	(b) an increase in lactate level greater than 2.2 mmol/L at the screening visit plus at least 1 of the following: (1) decrease in facial fat, (2) decrease in fat in lower limbs, or (3) decrease in fat in the buttocks area; or	15
NCT00005764	(c) an increase in lactate level greater than 2.2 mmol/L at screening visit plus at least 2 of the following: (1) shortness of breath, (2) weakness, (3) fast heartbeat, (4) recent weight loss (10 lbs. within the past 2 months), (5) pain and/or bloating in the abdomen, (6) nausea and/or vomiting and/or lack of appetite; or	15
NCT00005764	(d) lactate level greater than 3.2 mmol/L at the screening visit.	15
NCT00005764	Are able to read at a sixth-grade level.	15
NCT00005764	Have taken d4T consistently for the 6 months before entering study. Exclusion Criteria Patients will not be eligible for this study if they:	3
NCT00005764	Have diabetes or kidney failure.	15
NCT00005764	Have any condition that makes them unable to participate in this study.	15
NCT00005764	Are unable to take medications by mouth.	15
NCT00005764	Have serious medical conditions, such as congestive heart failure or other heart disease, which would affect the safety of the patient.	15
NCT00005764	Are taking or have taken abacavir plus Retrovir or Combivir.	15
NCT00005764	Are pregnant or breast-feeding.	26
NCT00005764	Are enrolled in other clinical studies.	15
NCT00005764	Have had a reaction to or are unable to take abacavir and have taken Retrovir in the past.	15
NCT00005764	Have taken hydroxyurea within the past 3 days or plan to take this drug during the study.	15
NCT00005764	Have had chemotherapy or radiation therapy within 4 weeks prior to screening visit (except for local treatment for Kaposi's sarcoma) or plan to have such treatment during the study.	14
NCT00005764	Have taken drugs that affect the immune system, such as systemic corticosteroids, interleukins, vaccines, or interferons, within 4 weeks prior to the screening visit.	14
NCT00005764	Have had an HIV vaccine within 3 months of the screening visit.	15
NCT00005764	Have taken recombinant Human Growth Hormone (r-hGH), megestrol acetate, medicines containing oxandrolone, oxymetholone, nandrolone, DHEA, or other testosterone derivatives, or glucocorticoids or other systemic steroids (except inhaled and topical steroids) in the last 4 months or plan to take these drugs during the study.	15
NCT00005949	Histologically or cytologically confirmed cutaneous melanoma with clinical evidence of distant, metastatic, unresectable regional lymphatic, or extensive in-transit recurrent disease	25
NCT00005949	HLA-A2\	15
NCT00005949	0201 positive by genotyping	15
NCT00005949	Measurable disease as defined by the following:	10
NCT00005949	At least 1 lesion accurately measured in at least 1 dimension	15
NCT00005949	At least 20 mm by conventional techniques	15
NCT00005949	At least 10 mm by spiral CT scan	15
NCT00005949	Lesions considered intrinsically nonmeasurable include:	15
NCT00005949	Bone lesions	15
NCT00005949	Leptomeningeal disease	15
NCT00005949	Ascites	15
NCT00005949	Pleural/pericardial effusion	15
NCT00005949	Inflammatory breast disease	4
NCT00005949	Lymphangitis cutis/pulmonis	15
NCT00005949	Abdominal masses not confirmed and followed by imaging techniques	15
NCT00005949	Cystic lesions	15
NCT00005949	Lesions situated in a previously irradiated area	15
NCT00005949	No ocular or mucosal melanoma	15
NCT00005949	No prior or concurrent liver or brain metastases	14
NCT00005949	Performance status - ECOG 0-1	6
NCT00005949	Platelet count at least 100,000/mm\^3	15
NCT00005949	Hemoglobin at least 10 g/dL	15
NCT00005949	LDH normal	15
NCT00005949	Bilirubin normal	12
NCT00005949	AST no greater than 2.5 times upper limit of normal	23
NCT00005949	Creatinine normal	8
NCT00005949	No congestive heart failure, angina, or symptomatic cardiac arrhythmia	15
NCT00005949	No myocardial infarction within the past 6 months	15
NCT00005949	No severe chronic pulmonary disease	15
NCT00005949	Not pregnant or nursing	26
NCT00005949	Fertile patients must use effective contraception	16
NCT00005949	No primary or secondary immunodeficiency or autoimmune disease	15
NCT00005949	No currently active second malignancy (e.g., patient has completed therapy and is considered unlikely to have recurrence within 1 year) other than nonmelanoma skin cancer	15
NCT00005949	At least 4 weeks since prior immunotherapy	14
NCT00005949	No prior interleukin-2	14
NCT00005949	No prior whole cell or gp100:209-217(210M)-targeted melanoma vaccine	14
NCT00005949	No other concurrent cytokines or growth factors	15
NCT00005949	At least 4 weeks since prior chemotherapy	14
NCT00005949	At least 1 month since prior systemic corticosteroids	14
NCT00005949	No concurrent systemic, inhaled, or topical corticosteroids	15
NCT00005949	At least 1 month since other prior immunosuppressive medication	14
NCT00005949	No antihypertensive medications from 1 day prior until 2 days after first course	14
NCT00006290	Patients may be eligible for this study if they:	3
NCT00006290	Are 18 years or older.	28
NCT00006290	Are HIV-positive.	15
NCT00006290	Are experiencing at least 1 of the following symptoms associated with fat changes due to HIV: 1) increase in belt or waist size; 2) increase in size of back of neck; 3) increase in bra, shirt, or blouse size to fit increasing breast size; 4) fat increase in other areas of the body; 5) loss of facial fat; 6) loss of fat in arms or legs; 7) loss of fat in buttocks.	15
NCT00006290	Agree to protect the confidentiality of other focus group participants.	15
NCT00006290	Are able to speak and read English.	15
NCT00006290	Have taken 2 or more anti-HIV medications for a total of at least 6 months at any time before entering this study. Patients must have taken some anti-HIV treatment during the 6-month period before study entry. Patients who have stopped taking these medications in the 6 months before study entry may still be eligible.	3
NCT00006290	Are willing to talk about personal topics in a taped group interview.	15
NCT00006290	Are male and either gay or bisexual (if enrolling in the Ohio State University or University of California focus groups).	15
NCT00006290	Are either female or heterosexual male (if enrolling in the University of Pennsylvania or Johns Hopkins University focus groups). Exclusion Criteria Patients will not be eligible for this study if they:	3
NCT00006290	Have a mental disability that, in the opinion of the researcher, could interfere with study participation.	15
NCT00006290	Have already taken part in an A5089 focus group interview.	15
NCT00006290	Have diabetes or Cushing's disease or have had surgery that might otherwise explain changes in body fat.	15
NCT00006290	Have changes in diet or physical activity that might explain changes in body fat.	15
NCT00006290	Have been on glucocorticoid therapy for a long time.	14
NCT00006290	Are pregnant.	26
NCT00006412	Patients may be eligible for this study if they:	3
NCT00006412	Are HIV-positive.	15
NCT00006412	Are at least 18 years old.	9
NCT00006412	Are on a lipid-lowering diet based on the patient's statement and have been exercising for at least 30 days before being screened for the study. Patients will be asked if they were counseled by their health care provider. The lipid-lowering diet and exercise program do not have to be prescribed by a physician.	15
NCT00006412	Have a triglyceride (TG) level of at least 200 mg/dl and low-density lipoprotein (LDL) level of at least 130 mg/dl after fasting for 8 to 12 hours.	15
NCT00006412	Have been treated with anti-HIV drugs for more than 6 months. Patients must be taking the anti-HIV drugs regularly for at least 4 weeks before they enter the study. Patients must be taking anti-HIV drugs regularly for at least 8 weeks if they have changed from taking protease inhibitor (PI) anti-HIV drugs to non-PI anti-HIV drugs. Any combination without a PI must lower the patient's HIV viral levels, as determined by the patient's physician.	3
NCT00006412	Are willing, if able to become pregnant, to use 2 reliable types of birth control while taking the study drug(s) and for 1 month after stopping the drug(s).	16
NCT00006412	Have a negative pregnancy test.	7
NCT00006412	(This reflects a change in inclusion requirements.) Exclusion Criteria Patients will not be eligible for the study if they:	3
NCT00006412	Have a history of heart disease.	15
NCT00006412	Have uncontrolled high blood pressure within 4 weeks of study entry.	15
NCT00006412	Have liver disease.	15
NCT00006412	Have gall bladder disease or symptoms within 3 months prior to study entry or symptoms of gallstones.	14
NCT00006412	Had surgery to remove their gallbladder within 3 months prior to study entry.	14
NCT00006412	Have diabetes requiring drug treatment or diabetes not controlled by diet.	15
NCT00006412	Have hypothyroidism (low thyroid activity).	15
NCT00006412	Are allergic or sensitive to the study drug(s) or to other lipid-lowering drugs.	15
NCT00006412	Have rhabdomyolysis (a muscle disease).	15
NCT00006412	Have taken any prescription or non-prescription lipid-lowering drug within 14 days prior to study entry or for over 24 weeks in the past.	14
NCT00006412	Take prescription lipid-lowering agents, other than those given by the study, and non-prescription lipid-lowering agents such as garlic supplements.	15
NCT00006412	Have failed previous statin or fibrate therapy (after 24 weeks of treatment) or have had side effects from these drugs.	14
NCT00006412	Receive or have received (within 14 days of study entry) treatment not approved by the FDA. Anti-HIV medications and immune-based treatments not approved by the FDA may be allowed on a case-by-case basis with the approval of the protocol team.	14
NCT00006412	Were given systemic chemotherapy for cancer other than Kaposi's sarcoma (KS).	14
NCT00006412	Were given radiation therapy within 30 days of study entry.	14
NCT00006412	Take drugs that increase risk of muscle disease (such as cyclosporine, erythromycin, itraconazole, and ketoconazole), within 14 days of study entry.	15
NCT00006412	Take or have taken levothyroxine and liothyronine for hypothyroidism.	15
NCT00006412	Take high doses of testosterone.	15
NCT00006412	Take creatine monophosphate or drugs that affect the immune system, within 30 days of study entry.	15
NCT00006412	Abuse drugs or alcohol, and the doctor thinks this may interfere with the study.	15
NCT00006412	Are pregnant or breast-feeding.	26
NCT00006412	Had a scheduled anti-HIV treatment withdrawal prior to study entry.	14
NCT00006412	(This reflects a change in exclusion requirements.)	15
NCT00007280	Men or women at least 18 years old	9
NCT00007280	At least one ulcer (wound) greater than or equal to 2 centimeters	15
NCT00007280	Ulcer (wound) present for at least 3 months or greater	15
NCT00007280	Ankle/brachial index \> 0.7	15
NCT00007280	Patient must be ambulatory	15
NCT00007280	Patient must read, understand and sign informed consent	22
NCT00021463	Patients may be eligible for this study if they:	3
NCT00021463	Are HIV infected.	15
NCT00021463	Are on their first combination of stable anti-HIV drugs (have not changed drugs for at least 6 months, except for reasons other than failing treatment or short interruptions of less than 7 days).	14
NCT00021463	Have 2 measurements of viral load (amount of HIV in the blood) during the 6 months before entering the study that are below 400 copies/ml by RT-PCR test or below 500 copies/ml by branched DNA test, measured at least 8 weeks apart.	15
NCT00021463	Have a viral load below 50 copies/ml within 30 days prior to entry.	14
NCT00021463	Have a CD4 cell count of 200 copies/ml or higher within 60 days of study entry.	15
NCT00021463	Are receiving medications and/or medications at certain doses that might interfere with the study.	15
NCT00021463	Are at least 13 years old and have signed consent of parent or guardian if under 18 years of age.	9
NCT00021463	Have a negative pregnancy test within 14 days of study entry, if a woman able to have children.	7
NCT00021463	Agree to use a barrier method of birth control, men and women, while receiving study drugs and for 3 months afterwards. Exclusion Criteria Patients will not be eligible for this study if they:	16
NCT00021463	Are receiving high doses of testosterone. Low doses are allowed if received for 60 or more days before entering the study with no plans to change the dose during the first 24 weeks of the study.	14
NCT00021463	Have had treatment with any nonnucleoside reverse transcriptase inhibitor (NNRTI).	14
NCT00021463	Have had treatment with ABC.	14
NCT00021463	Are allergic to study drugs or any ingredient in them.	15
NCT00021463	Are pregnant or breast-feeding.	26
NCT00021463	Have used any HIV vaccine or drugs affecting the immune system within 30 days prior to entering the study.	14
NCT00021463	Have had systemic treatment for cancer within 30 days of entering the study.	14
NCT00021463	Have had systemic treatment with certain other drugs that may interfere with the study within 14 days of entering the study.	14
NCT00021463	Have a serious illness that required systemic treatment or a hospital stay unless treatment was completed at least 14 days prior to entering the study, or are on stable treatment, in the doctor's opinion, for at least 14 days prior to entering the study.	14
NCT00021463	Abuse drugs or alcohol.	15
NCT00021463	Have or suspect they have acute hepatitis within 30 days of entering the study.	15
NCT00024154	Histologically confirmed metastatic adenocarcinoma of the breast	25
NCT00024154	Patients may have had or not had standard first-line chemotherapy for the treatment of metastatic disease	14
NCT00024154	Overexpression of HER2-neu (HER2 3+ by immunohistochemistry or gene amplification as measured by fluorescent in situ hybridization)	0
NCT00024154	Measurable disease	10
NCT00024154	Patients with no prior adjuvant chemotherapy may have failed or not failed first-line chemotherapy for metastatic disease	14
NCT00024154	No more than 2 prior systemic chemotherapy regimens for metastatic disease	14
NCT00024154	Relapse while receiving or within 6 months of completion of adjuvant chemotherapy is considered failure of 1 regimen for metastatic disease	14
NCT00024154	No untreated brain metastases or brain metastases undergoing radiotherapy	15
NCT00024154	Previously treated brain metastasis that has responded to radiotherapy and/or surgery allowed if not sole site of measurable disease	10
NCT00024154	Hormone receptor status:	0
NCT00024154	Not specified	15
NCT00024154	Male or female	18
NCT00024154	Performance status - ECOG 0-2	6
NCT00024154	Granulocyte count at least 1,500/mm\^3	15
NCT00024154	Platelet count at least 100,000/mm\^3	15
NCT00024154	Bilirubin no greater than 1.5 times upper limit of normal (ULN)	23
NCT00024154	AST and ALT no greater than 3 times ULN (5 times ULN if liver metastases is present)	29
NCT00024154	INR no greater than 1.5 times ULN	1
NCT00024154	PT and PTT no greater than 1.5 times ULN	15
NCT00024154	Creatinine no greater than 1.5 mg/dL	8
NCT00024154	No more than trace blood or protein in urine	15
NCT00024154	LVEF ≥ 50% by MUGA scan	15
NCT00024154	No prior New York Heart Association class I-IV heart disease	15
NCT00024154	No PR prolongation or atrioventricular block on ECG	15
NCT00024154	Not pregnant or nursing	26
NCT00024154	Negative pregnancy test	7
